Request Id,request_e2e_time,request_e2e_time_normalized,request_e2e_time_piecewise_normalized,request_execution_time,request_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_e2e_time_piecewise_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_num_pauses,request_num_ignored
0_0,1728412791.3017519,6751612.466022468,1728412770.788828,20.341832876205444,0.07946028467267752,0.25153398513793945,1728412770.708385,20.593366861343384,0.08044283930212259,1728412772.3706913,5593568.842623596,1728412770.7137647,1.662306308746338,0.005379632067140252,0.07394945528358221,-0.14225919172167778,565,309,256,1.20703125,0,259,0
0_1,1728412794.6842132,6751612.479235208,1728412777.0797732,17.467263221740723,0.0682314969599247,0.20621371269226074,1728412777.0107362,17.673476934432983,0.06903701927512884,1728412778.0485175,5539784.5450273,1728412777.0140624,1.0377812385559082,0.0033262219184484235,0.06498318631201982,0.1319756107404828,568,312,256,1.21875,0,259,0
0_1,1728412794.6842132,6751612.479235208,1728412777.0797732,17.467263221740723,0.0682314969599247,0.20621371269226074,1728412777.0107362,17.673476934432983,0.06903701927512884,1728412778.0485175,5539784.5450273,1728412777.0140624,1.0377812385559082,0.0033262219184484235,0.06498318631201982,-0.003911556676030159,568,312,256,1.21875,0,259,0
0_2,1728412791.5964038,6751612.4671734525,1728412771.3679738,20.064255475997925,0.0783759979531169,0.2435016632080078,1728412771.2886467,20.307757139205933,0.07932717632502317,1728412772.9439127,5418221.858758347,1728412771.2938356,1.6552660465240479,0.005188921775937454,0.07286129333078861,0.0013442263007164001,575,319,256,1.24609375,0,259,0
0_2,1728412791.5964038,6751612.4671734525,1728412771.3679738,20.064255475997925,0.0783759979531169,0.2435016632080078,1728412771.2886467,20.307757139205933,0.07932717632502317,1728412772.9439127,5418221.858758347,1728412771.2938356,1.6552660465240479,0.005188921775937454,0.07286129333078861,0.1333198370411992,575,319,256,1.24609375,0,259,0
0_3,1728412795.2627616,6751612.4814951625,1728412777.7894058,17.341877698898315,0.06774170976132154,0.20000100135803223,1728412777.720883,17.541878700256348,0.06852296367287636,1728412778.7630374,5504499.2954236865,1728412777.724202,1.0421545505523682,0.0033189635367909813,0.06445204745978117,0.0013233665376901627,570,314,256,1.2265625,0,259,0
0_3,1728412795.2627616,6751612.4814951625,1728412777.7894058,17.341877698898315,0.06774170976132154,0.20000100135803223,1728412777.720883,17.541878700256348,0.06852296367287636,1728412778.7630374,5504499.2954236865,1728412777.724202,1.0421545505523682,0.0033189635367909813,0.06445204745978117,0.002667592838406563,570,314,256,1.2265625,0,259,0
0_4,1728412794.287974,6751612.477687399,1728412776.3136718,17.83148717880249,0.06965424679219723,0.2133026123046875,1728412776.2431843,18.044789791107178,0.07048746012151241,1728412777.3322732,5237614.476764465,1728412776.2464845,1.0890889167785645,0.003300269444783529,0.06623320654034615,0.0012439638376235962,586,330,256,1.2890625,0,260,0
0_4,1728412794.287974,6751612.477687399,1728412776.3136718,17.83148717880249,0.06965424679219723,0.2133026123046875,1728412776.2431843,18.044789791107178,0.07048746012151241,1728412777.3322732,5237614.476764465,1728412776.2464845,1.0890889167785645,0.003300269444783529,0.06623320654034615,-0.0040151262655854225,586,330,256,1.2890625,0,260,0
0_5,1728412793.4395938,6751612.474373413,1728412774.8460908,18.441941499710083,0.07203883398324251,0.22447729110717773,1728412774.773175,18.66641879081726,0.07291569840162992,1728412775.8547115,5174888.550463208,1728412774.7764132,1.0815365314483643,0.0032381333276897133,0.06869094632565975,0.0012943809852004051,590,334,256,1.3046875,0,260,0
