Request Id,prefill_e2e_time_normalized,cdf
0_6,4735377.462166342,0.1
0_5,5174888.550463208,0.2
0_4,5237614.476764465,0.3
0_9,5285665.976714685,0.4
0_2,5418221.858758347,0.5
0_7,5435260.303652717,0.6
0_3,5504499.2954236865,0.7
0_8,5539784.535546842,0.8
0_1,5539784.5450273,0.9
0_0,5593568.842623596,1.0
