Request Id,request_e2e_time_piecewise_normalized,cdf
0_0,1728412770.788828,0.1
0_2,1728412771.3679738,0.2
0_6,1728412772.6973453,0.3
0_9,1728412773.4418359,0.4
0_8,1728412774.1424372,0.5
0_5,1728412774.8460908,0.6
0_7,1728412775.600743,0.7
0_4,1728412776.3136718,0.8
0_1,1728412777.0797732,0.9
0_3,1728412777.7894058,1.0
