Request Id,prefill_e2e_time,cdf
0_0,1728412772.3706913,0.1
0_2,1728412772.9439127,0.2
0_6,1728412773.6907148,0.3
0_9,1728412774.385702,0.4
0_8,1728412775.0906148,0.5
0_5,1728412775.8547115,0.6
0_7,1728412776.561564,0.7
0_4,1728412777.3322732,0.8
0_1,1728412778.0485175,0.9
0_3,1728412778.7630374,1.0
