Request Id,prefill_e2e_time_piecewise_normalized,cdf
0_0,1728412770.7137647,0.1
0_2,1728412771.2938356,0.2
0_6,1728412772.6238844,0.3
0_9,1728412773.3699021,0.4
0_8,1728412774.0718143,0.5
0_5,1728412774.7764132,0.6
0_7,1728412775.5324833,0.7
0_4,1728412776.2464845,0.8
0_1,1728412777.0140624,0.9
0_3,1728412777.724202,1.0
