cdf,batch_size
0.0,0.9989999999999999
0.01,0.9989999999999999
0.02,0.9989999999999999
0.03,1.9997051226201907
0.04,1.9997051226201907
0.05,3.001162958349363
0.06,3.001162958349363
0.07,4.002823400834266
0.08,4.002823400834266
0.09,4.002823400834266
0.1,4.997811098765265
0.11,4.997811098765265
0.12,5.995445496133053
0.13,5.995445496133053
0.14,6.993632892422741
0.15,6.993632892422741
0.16,7.996469989602652
0.17,7.996469989602652
0.18,7.996469989602652
0.19,8.997981121446852
0.2,8.997981121446852
0.21,10.004152608697645
0.22,10.004152608697645
0.23,10.004152608697645
0.24,10.004152608697645
0.25,10.004152608697645
0.26,10.004152608697645
0.27,10.004152608697645
0.28,10.004152608697645
0.29,10.004152608697645
0.3,10.004152608697645
0.31,10.004152608697645
0.32,10.004152608697645
0.33,10.004152608697645
0.34,10.004152608697645
0.35000000000000003,10.004152608697645
0.36,10.004152608697645
0.37,10.004152608697645
0.38,10.004152608697645
0.39,10.004152608697645
0.4,10.004152608697645
0.41000000000000003,10.004152608697645
0.42,10.004152608697645
0.43,10.004152608697645
0.44,10.004152608697645
0.45,10.004152608697645
0.46,10.004152608697645
0.47000000000000003,10.004152608697645
0.48,10.004152608697645
0.49,10.004152608697645
0.5,10.004152608697645
0.51,10.004152608697645
0.52,10.004152608697645
0.53,10.004152608697645
0.54,10.004152608697645
0.55,10.004152608697645
0.56,10.004152608697645
0.5700000000000001,10.004152608697645
0.58,10.004152608697645
0.59,10.004152608697645
0.6,10.004152608697645
0.61,10.004152608697645
0.62,10.004152608697645
0.63,10.004152608697645
0.64,10.004152608697645
0.65,10.004152608697645
0.66,10.004152608697645
0.67,10.004152608697645
0.68,10.004152608697645
0.6900000000000001,10.004152608697645
0.7000000000000001,10.004152608697645
0.71,10.004152608697645
0.72,10.004152608697645
0.73,10.004152608697645
0.74,10.004152608697645
0.75,10.004152608697645
0.76,10.004152608697645
0.77,10.004152608697645
0.78,10.004152608697645
0.79,10.004152608697645
0.8,10.004152608697645
0.81,10.004152608697645
0.8200000000000001,10.004152608697645
0.8300000000000001,10.004152608697645
0.84,10.004152608697645
0.85,10.004152608697645
0.86,10.004152608697645
0.87,10.004152608697645
0.88,10.004152608697645
0.89,10.004152608697645
0.9,10.004152608697645
0.91,10.004152608697645
0.92,10.004152608697645
0.93,10.004152608697645
0.9400000000000001,10.004152608697645
0.9500000000000001,10.004152608697645
0.96,10.004152608697645
0.97,10.004152608697645
0.98,10.004152608697645
0.99,10.004152608697645
1.0,10.004152608697645
