Request Id,request_e2e_time_normalized,cdf
0_0,6751612.466022468,0.1
0_2,6751612.4671734525,0.2
0_6,6751612.469442403,0.3
0_9,6751612.471013755,0.4
0_8,6751612.472603992,0.5
0_5,6751612.474373413,0.6
0_7,6751612.475917222,0.7
0_4,6751612.477687399,0.8
0_1,6751612.479235208,0.9
0_3,6751612.4814951625,1.0
