cdf,batch_num_decode_tokens
0.0,21829.178788116293
0.01,21829.178788116293
0.02,21829.178788116293
0.03,21829.178788116293
0.04,21829.178788116293
0.05,21829.178788116293
0.06,21829.178788116293
0.07,21829.178788116293
0.08,21829.178788116293
0.09,21829.178788116293
0.1,21829.178788116293
0.11,21829.178788116293
0.12,21829.178788116293
0.13,21829.178788116293
0.14,21829.178788116293
0.15,21829.178788116293
0.16,21872.88084775216
0.17,21872.88084775216
0.18,21872.88084775216
0.19,21872.88084775216
0.2,21872.88084775216
0.21,21872.88084775216
0.22,21872.88084775216
0.23,21872.88084775216
0.24,21872.88084775216
0.25,21872.88084775216
0.26,21872.88084775216
0.27,21872.88084775216
0.28,21872.88084775216
0.29,21872.88084775216
0.3,21872.88084775216
0.31,21872.88084775216
0.32,21872.88084775216
0.33,21872.88084775216
0.34,21872.88084775216
0.35000000000000003,21872.88084775216
0.36,21872.88084775216
0.37,21872.88084775216
0.38,21872.88084775216
0.39,21872.88084775216
0.4,21872.88084775216
0.41000000000000003,21872.88084775216
0.42,21872.88084775216
0.43,21872.88084775216
0.44,21872.88084775216
0.45,21872.88084775216
0.46,21872.88084775216
0.47000000000000003,21872.88084775216
0.48,21872.88084775216
0.49,21872.88084775216
0.5,21872.88084775216
0.51,21872.88084775216
0.52,21872.88084775216
0.53,21872.88084775216
0.54,21872.88084775216
0.55,21872.88084775216
0.56,21872.88084775216
0.5700000000000001,21872.88084775216
0.58,21872.88084775216
0.59,21872.88084775216
0.6,21872.88084775216
0.61,21872.88084775216
0.62,21872.88084775216
0.63,21872.88084775216
0.64,21872.88084775216
0.65,21872.88084775216
0.66,21872.88084775216
0.67,21872.88084775216
0.68,21872.88084775216
0.6900000000000001,21872.88084775216
0.7000000000000001,21872.88084775216
0.71,21872.88084775216
0.72,21872.88084775216
0.73,21872.88084775216
0.74,21872.88084775216
0.75,21872.88084775216
0.76,21872.88084775216
0.77,21872.88084775216
0.78,21872.88084775216
0.79,21872.88084775216
0.8,21872.88084775216
0.81,21872.88084775216
0.8200000000000001,21872.88084775216
0.8300000000000001,21872.88084775216
0.84,21872.88084775216
0.85,21872.88084775216
0.86,21872.88084775216
0.87,21872.88084775216
0.88,21872.88084775216
0.89,21872.88084775216
0.9,21872.88084775216
0.91,21872.88084775216
0.92,21872.88084775216
0.93,21872.88084775216
0.9400000000000001,21872.88084775216
0.9500000000000001,21872.88084775216
0.96,21872.88084775216
0.97,21872.88084775216
0.98,21872.88084775216
0.99,21872.88084775216
1.0,21872.88084775216
