cdf,batch_num_prefill_tokens
0.0,1521566978.4661539
0.01,1521566978.4661539
0.02,1521566978.4661539
0.03,1521566978.4661539
0.04,1521566978.4661539
0.05,1521566978.4661539
0.06,1521566978.4661539
0.07,1521566978.4661539
0.08,1521566978.4661539
0.09,1521566978.4661539
0.1,1521566978.4661539
0.11,1521566978.4661539
0.12,1521566978.4661539
0.13,1521566978.4661539
0.14,1521566978.4661539
0.15,1521566978.4661539
0.16,1521566978.4661539
0.17,1521566978.4661539
0.18,1521566978.4661539
0.19,1521566978.4661539
0.2,1521566978.4661539
0.21,1521566978.4661539
0.22,1521566978.4661539
0.23,1521566978.4661539
0.24,1521566978.4661539
0.25,1521566978.4661539
0.26,1521566978.4661539
0.27,1521566978.4661539
0.28,1521566978.4661539
0.29,1521566978.4661539
0.3,1521566978.4661539
0.31,1521566978.4661539
0.32,1521566978.4661539
0.33,1521566978.4661539
0.34,1521566978.4661539
0.35000000000000003,1521566978.4661539
0.36,1521566978.4661539
0.37,1521566978.4661539
0.38,1521566978.4661539
0.39,1521566978.4661539
0.4,1521566978.4661539
0.41000000000000003,1521566978.4661539
0.42,1521566978.4661539
0.43,1521566978.4661539
0.44,1521566978.4661539
0.45,1521566978.4661539
0.46,1521566978.4661539
0.47000000000000003,1521566978.4661539
0.48,1521566978.4661539
0.49,1521566978.4661539
0.5,1521566978.4661539
0.51,1521566978.4661539
0.52,1521566978.4661539
0.53,1521566978.4661539
0.54,1521566978.4661539
0.55,1521566978.4661539
0.56,1521566978.4661539
0.5700000000000001,1521566978.4661539
0.58,1521566978.4661539
0.59,1521566978.4661539
0.6,1521566978.4661539
0.61,1521566978.4661539
0.62,1521566978.4661539
0.63,1521566978.4661539
0.64,1521566978.4661539
0.65,1521566978.4661539
0.66,1521566978.4661539
0.67,1521566978.4661539
0.68,1521566978.4661539
0.6900000000000001,1521566978.4661539
0.7000000000000001,1521566978.4661539
0.71,1521566978.4661539
0.72,1521566978.4661539
0.73,1521566978.4661539
0.74,1521566978.4661539
0.75,1521566978.4661539
0.76,1521566978.4661539
0.77,1521566978.4661539
0.78,1521566978.4661539
0.79,1521566978.4661539
0.8,1521566978.4661539
0.81,1521566978.4661539
0.8200000000000001,1521566978.4661539
0.8300000000000001,1521566978.4661539
0.84,1521566978.4661539
0.85,1521566978.4661539
0.86,1521566978.4661539
0.87,1521566978.4661539
0.88,1521566978.4661539
0.89,1521566978.4661539
0.9,1521566978.4661539
0.91,1521566978.4661539
0.92,1521566978.4661539
0.93,1521566978.4661539
0.9400000000000001,1521566978.4661539
0.9500000000000001,1521566978.4661539
0.96,1521566978.4661539
0.97,1521566978.4661539
0.98,1521566978.4661539
0.99,1521566978.4661539
1.0,1521566978.4661539
